Datum;BundeslandID;Name;BestaetigteFaelleEMS
2021-04-17T08:00:00+02:00;1;Burgenland;16917
2021-04-17T08:00:00+02:00;2;Kärnten;36784
2021-04-17T08:00:00+02:00;3;Niederösterreich;100059
2021-04-17T08:00:00+02:00;4;Oberösterreich;106492
2021-04-17T08:00:00+02:00;5;Salzburg;46891
2021-04-17T08:00:00+02:00;6;Steiermark;70944
2021-04-17T08:00:00+02:00;7;Tirol;57302
2021-04-17T08:00:00+02:00;8;Vorarlberg;26060
2021-04-17T08:00:00+02:00;9;Wien;126748
2021-04-17T08:00:00+02:00;10;Österreich;588197
2021-04-18T08:00:00+02:00;1;Burgenland;16968
2021-04-18T08:00:00+02:00;2;Kärnten;36933
2021-04-18T08:00:00+02:00;3;Niederösterreich;100369
2021-04-18T08:00:00+02:00;4;Oberösterreich;106877
2021-04-18T08:00:00+02:00;5;Salzburg;46998
2021-04-18T08:00:00+02:00;6;Steiermark;71199
2021-04-18T08:00:00+02:00;7;Tirol;57487
2021-04-18T08:00:00+02:00;8;Vorarlberg;26147
2021-04-18T08:00:00+02:00;9;Wien;127334
2021-04-18T08:00:00+02:00;10;Österreich;590312
